latency_ms,jitter_ms,packet_loss_pct,is_external,samples_count,label
42.92,6.29,0.092,1,27,2
45.74,6.04,0.006,1,15,2
46.17,2.8,0.254,1,24,2
195.01,30.38,5.592,1,3,1
27.53,3.44,0.051,1,27,2
37.39,4.22,0.229,1,17,2
30.0,4.88,0.05,0,19,0
353.1,52.2,8.587,1,4,1
16.86,0.47,0.307,0,19,0
29.57,4.41,0.509,0,12,0
27.16,11.59,0.013,1,18,2
31.79,5.6,0.187,1,25,2
73.43,16.77,2.409,1,13,1
129.84,20.04,4.211,1,7,1
49.72,5.46,0.72,1,13,2
128.83,12.71,5.255,1,4,1
10.0,9.53,0.034,1,10,2
8.72,7.28,0.033,0,5,0
168.25,30.56,3.0,1,7,1
52.7,7.9,0.54,1,8,2
3.75,2.23,0.157,0,9,0
64.64,17.11,2.178,1,12,1
7.86,0.55,0.186,0,10,0
25.98,2.46,0.185,1,6,2
50.37,4.84,0.062,1,9,2
1.46,2.64,0.155,0,13,0
5.06,2.35,0.078,0,14,0
127.78,19.66,6.921,1,7,1
1.54,7.35,0.089,0,26,0
136.06,39.91,6.262,1,17,1
164.33,28.88,3.722,1,3,1
35.09,4.76,0.476,0,17,0
4.11,0.11,0.105,0,8,0
2.01,3.46,0.212,0,27,0
70.1,33.74,4.36,1,7,1
15.85,1.01,0.006,0,28,0
3.04,1.09,0.04,0,29,0
4.23,1.73,0.102,0,26,0
155.4,40.34,4.492,1,5,1
59.11,7.59,0.221,1,20,2
28.9,7.29,0.474,0,7,0
60.25,10.45,1.228,1,14,1
56.47,2.41,0.212,1,27,2
106.57,26.34,4.333,1,7,1
121.76,22.78,3.379,1,14,1
19.41,3.04,0.825,1,24,2
18.29,9.38,0.467,1,20,2
16.46,4.97,0.03,1,29,2
109.0,25.53,2.111,1,13,1
2.41,1.5,0.078,0,9,0
56.62,1.28,0.154,1,17,2
84.22,17.15,2.244,1,10,1
16.17,3.83,0.162,1,14,2
58.29,7.56,0.089,1,15,2
84.7,15.39,2.349,1,9,2
124.55,27.52,5.623,1,10,1
10.8,0.14,0.104,0,7,0
21.51,6.31,0.506,1,12,2
30.65,4.57,0.042,1,20,2
5.06,0.12,0.12,0,28,0
60.0,30.72,5.391,1,18,1
45.7,9.74,0.232,1,21,2
163.0,33.58,4.312,1,17,1
8.59,1.03,0.037,0,15,0
399.98,43.67,6.744,1,8,1
153.69,30.14,2.319,1,17,1
4.21,1.32,0.193,0,24,0
19.69,5.79,0.522,1,26,2
1.0,0.49,0.114,0,26,0
59.49,14.22,2.016,1,6,1
51.45,15.56,1.247,1,13,2
54.37,11.51,1.913,1,6,1
36.8,7.34,0.593,0,7,0
86.38,17.71,4.323,1,6,1
59.94,1.0,0.247,1,8,2
5.68,1.14,0.355,0,28,0
73.4,32.68,6.689,1,13,1
12.64,7.04,0.97,1,25,2
60.0,22.38,4.631,1,14,1
60.0,11.43,3.917,1,10,1
19.56,8.8,0.703,1,6,2
18.76,4.06,0.058,1,24,2
5.43,0.32,0.038,0,25,0
189.58,31.07,5.529,1,3,1
189.46,20.88,2.332,1,7,1
5.18,2.92,0.385,0,9,0
79.12,15.49,5.113,1,8,1
46.08,5.35,0.03,1,19,2
7.09,0.49,0.005,0,24,0
201.1,32.91,2.562,1,16,1
28.52,4.53,0.758,0,15,0
23.16,0.49,0.157,0,29,0
434.11,37.36,9.093,1,8,1
7.47,7.51,0.373,0,21,0
7.35,2.24,0.148,0,10,0
131.17,41.02,5.324,1,6,1
82.67,24.49,4.366,1,7,1
137.31,27.05,3.67,1,3,1
1.66,2.3,0.116,0,20,0
4.6,2.2,0.123,0,16,0
28.3,4.92,0.279,1,23,2
37.57,2.95,0.634,1,23,2
35.42,6.08,0.174,1,21,2
60.0,27.55,1.5,1,17,1
3.82,0.61,0.036,0,28,0
10.0,5.99,0.053,1,12,2
48.1,6.85,0.275,1,21,2
20.85,3.7,0.013,0,18,0
2.64,0.41,0.177,0,8,0
117.45,25.59,7.519,1,12,1
60.0,19.13,4.877,1,18,1
36.67,10.34,1.105,1,11,2
51.28,6.62,0.676,1,15,2
38.98,9.43,0.131,1,27,2
52.5,9.52,0.215,1,11,2
10.0,1.0,0.266,1,20,2
25.4,9.42,0.649,1,9,2
16.45,2.15,0.05,0,9,0
26.37,1.03,0.04,0,8,0
107.58,27.97,2.589,1,11,1
26.66,4.89,0.075,1,13,2
2.91,1.13,0.188,0,23,0
5.35,0.16,0.108,0,5,0
26.61,3.71,0.139,0,24,0
143.71,33.2,4.613,1,14,1
21.38,6.1,0.008,1,14,2
139.6,30.41,1.595,1,3,1
70.2,13.35,1.72,1,10,1
10.0,15.0,0.057,1,25,2
20.89,1.34,0.047,0,28,0
152.74,33.97,4.272,1,3,1
132.74,8.0,4.424,1,17,1
84.98,37.06,1.5,1,14,1
14.1,0.29,0.003,0,29,0
38.99,7.15,0.024,1,17,2
4.85,1.32,0.143,0,7,0
20.46,1.68,0.112,0,18,0
10.7,6.13,0.037,0,28,0
27.75,2.48,0.131,1,23,2
151.01,26.07,4.383,1,4,1
64.92,8.64,4.112,1,8,1
127.21,8.0,4.819,1,5,1
116.6,27.25,2.192,1,16,1
89.7,17.05,1.189,1,13,1
65.2,7.29,0.744,1,22,2
129.58,38.5,5.771,1,11,1
2.22,0.1,0.133,0,7,0
5.87,0.85,0.106,0,10,0
20.87,2.99,0.044,0,24,0
479.67,53.21,6.838,1,4,1
1.0,0.42,0.028,0,24,0
55.13,9.31,0.453,1,19,2
61.07,8.0,1.5,1,16,1
30.0,0.83,0.015,0,8,0
144.32,8.76,4.16,1,9,1
18.95,1.53,0.152,0,21,0
112.01,20.83,4.605,1,12,1
75.98,17.93,1.799,1,12,1
25.89,7.51,0.74,0,18,0
151.01,15.04,6.406,1,7,1
4.46,3.82,0.04,0,16,0
137.02,8.0,4.506,1,17,1
114.24,39.83,5.237,1,19,1
12.13,1.07,0.388,0,27,0
194.32,13.57,5.493,1,12,1
19.54,4.15,0.164,1,19,2
11.66,3.41,0.243,0,26,0
100.2,8.0,5.376,1,3,1
2.86,2.36,0.105,0,18,0
46.2,11.02,0.108,1,13,2
28.96,7.7,0.112,1,7,2
2.93,0.26,0.112,0,20,0
27.61,4.33,0.34,1,6,2
50.51,6.23,0.194,1,18,2
129.49,45.27,5.358,1,15,1
103.93,8.0,4.432,1,7,1
50.47,6.95,0.12,1,27,2
85.02,23.54,5.752,1,6,1
34.56,11.37,0.177,1,27,2
76.98,21.22,2.387,1,7,1
90.08,17.47,5.823,1,6,1
2.41,0.1,0.203,0,27,0
454.39,67.8,7.496,1,7,1
62.81,10.43,0.337,1,12,2
22.88,2.65,0.014,0,18,0
289.03,47.62,11.186,1,7,1
64.98,10.68,1.633,1,7,2
34.46,8.83,0.624,1,16,2
27.2,4.85,0.334,1,14,2
70.85,12.13,1.282,1,10,2
24.9,0.19,0.003,0,24,0
99.82,19.77,3.529,1,18,1
6.76,3.26,0.139,0,23,0
31.82,7.46,0.096,1,25,2
1.0,1.21,0.095,0,20,0
30.0,1.2,0.336,0,12,0
29.53,10.24,0.094,1,8,2
10.58,0.23,0.027,0,21,0
1.0,2.77,0.205,0,26,0
35.75,2.32,0.322,1,24,2
17.04,6.91,0.634,1,9,2
15.3,1.06,0.134,0,23,0
140.42,17.74,3.145,1,8,1
29.89,9.25,0.149,1,5,2
96.43,27.03,4.686,1,7,1
15.22,10.46,0.259,1,19,2
3.65,0.81,0.016,0,23,0
60.0,11.5,7.565,1,5,1
77.29,14.1,3.886,1,7,1
27.06,5.96,0.592,1,13,2
33.85,6.74,1.114,1,18,2
9.55,1.13,0.113,0,7,0
50.73,14.14,2.034,1,8,1
132.18,14.98,6.759,1,12,1
101.88,35.86,4.032,1,15,1
8.34,1.47,0.05,0,15,0
11.48,1.68,0.095,0,6,0
21.48,1.13,0.006,0,19,0
21.75,5.58,0.032,1,28,2
33.17,4.44,0.755,1,14,2
1.21,7.02,0.104,0,10,0
169.41,10.04,1.5,1,16,1
108.24,26.41,4.877,1,17,1
33.57,11.47,0.245,1,19,2
488.02,60.02,8.251,1,6,1
32.71,6.35,0.384,1,20,2
44.94,1.0,0.049,1,28,2
185.76,29.43,2.625,1,5,1
126.91,22.82,6.337,1,10,1
33.43,5.19,0.352,1,29,2
42.3,3.2,0.17,1,6,2
46.66,11.49,0.097,1,12,2
35.3,7.96,0.322,1,6,2
149.78,14.32,6.085,1,12,1
24.97,7.59,0.306,1,7,2
160.97,18.05,9.215,1,19,1
2.03,1.39,0.376,0,5,0
133.2,26.12,6.363,1,15,1
142.34,23.24,4.445,1,6,1
29.26,5.84,0.225,1,26,2
5.37,1.29,0.032,0,8,0
15.54,8.61,0.256,1,28,2
38.92,6.4,0.073,1,12,2
17.76,6.87,0.017,1,15,2
1.0,0.11,0.011,0,18,0
79.25,12.52,1.62,1,7,2
10.0,4.42,0.065,1,6,2
1.45,0.32,0.039,0,14,0
114.9,28.91,5.665,1,10,1
111.07,19.21,8.113,1,5,1
26.48,6.77,0.357,0,6,0
27.04,8.07,0.085,1,18,2
13.58,0.38,0.143,0,23,0
94.47,16.01,1.5,1,10,1
22.38,4.17,0.212,1,25,2
1.0,0.53,0.002,0,10,0
1.0,0.1,0.094,0,12,0
5.01,0.98,0.303,0,20,0
92.98,16.62,1.5,1,10,1
27.86,8.13,0.107,1,25,2
1.38,1.55,0.11,0,18,0
165.9,20.79,5.075,1,4,1
